id,name,twolettercode,designator,alliance,aviation,sea,land,rail,validfrom,validto
1,Adria Airways,JP,165,Star Alliance,t,f,f,f,,
2,Aegean Airlines,A3,390,Star Alliance,t,f,f,f,,
3,Aer Arann,RE,809,,t,f,f,f,,
4,Aer Lingus,EI,53,,t,f,f,f,,
5,Aeroflot Russian Airlines,SU,555,SkyTeam,t,f,f,f,,
6,Aerolineas Argentinas,AR,44,,t,f,f,f,,
7,Aeromexico,AM,139,SkyTeam,t,f,f,f,,
8,Air Algerie,AH,124,,t,f,f,f,,
9,Air Astana,KC,465,,t,f,f,f,,
10,Air Berlin,AB,745,Oneworld,t,f,f,f,,
11,Air Canada,AC,14,Star Alliance,t,f,f,f,,
12,Air China,CA,999,Star Alliance,t,f,f,f,,
13,Air Europa,UX,996,SkyTeam,t,f,f,f,,
14,Air France,AF,57,SkyTeam,t,f,f,f,,
15,Air India,AI,98,Star Alliance,t,f,f,f,,
16,Air Malta,KM,643,,t,f,f,f,,
17,Air Namibia,SW,186,,t,f,f,f,,
18,Air New Zealand,NZ,86,Star Alliance,t,f,f,f,,
19,Air Seychelles,HM,61,,t,f,f,f,,
20,Air Tahiti,VT,135,,t,f,f,f,,
21,Air Zimbabwe,UM,168,,t,f,f,f,,
22,Alaska Airlines,AS,27,,t,f,f,f,,
23,Alitalia,AZ,55,SkyTeam,t,f,f,f,,
24,All Nippon Airways,NH,205,Star Alliance,t,f,f,f,,
25,American Airlines,AA,1,Oneworld,t,f,f,f,,
26,Arik Air,W3,725,,t,f,f,f,,
27,Asiana Airlines,OZ,988,Star Alliance,t,f,f,f,,
28,Atlantic Airways,RC,767,,t,f,f,f,,
29,Aurigny,GR,924,,t,f,f,f,,
30,Austrian Airlines,OS,257,Star Alliance,t,f,f,f,,
31,Avianca,AV,134,,t,f,f,f,,
32,Azerbaijan Hava Yollary,J2,771,,t,f,f,f,,
33,Bangkok Airways,PG,829,,t,f,f,f,,
34,Blue1,KF,142,Star Alliance,t,f,f,f,,
35,British Airways,BA,125,Oneworld,t,f,f,f,,
36,Brussels Airlines,SN,82,Star Alliance,t,f,f,f,,
37,Bulgaria Air,FB,623,,t,f,f,f,,
38,Cathay Pacific,CX,160,Oneworld,t,f,f,f,,
39,Czech Airlines,OK,64,SkyTeam,t,f,f,f,,
40,China Airlines,CI,297,SkyTeam,t,f,f,f,,
41,China Eastern Airlines,MU,781,SkyTeam,t,f,f,f,,
42,China Southern Airlines,CZ,784,SkyTeam,t,f,f,f,,
43,Croatia Airlines,OU,831,Star Alliance,t,f,f,f,,
44,Cyprus Airways,CY,,48,t,f,f,f,,
45,Delta Air Lines,DL,6,SkyTeam,t,f,f,f,,
46,Eastern Airways,T3,,,t,f,f,f,,
47,Egyptair,MS,77,Star Alliance,t,f,f,f,,
48,El Al Israel Airlines,LY,114,,t,f,f,f,,
49,Emirates,EK,176,,t,f,f,f,,
50,Estonian Air,OV,960,,t,f,f,f,,
51,Ethiopian Airlines,ET,71,Star Alliance,t,f,f,f,,
52,Etihad Airways,EY,607,,t,f,f,f,,
53,Eva Air,BR,695,Star Alliance,t,f,f,f,,
54,Finnair,AY,105,Oneworld,t,f,f,f,,
55,Flybe,BE,267,,t,f,f,f,,
56,Garuda Indonesia,GA,126,SkyTeam,t,f,f,f,,
57,Gulf Air,GF,72,,t,f,f,f,,
58,HAHN Air,HR,169,,t,f,f,f,,
59,Hong Kong Airlines,HX,851,,t,f,f,f,,
60,Iberia,IB,75,Oneworld,t,f,f,f,,
