"id","name","description",validfrom,validto
"1","Captain",,,
"2","First Officer",,,
"3","Second Officer",,,
"4","Third Officer",,,
"5","Flight Engineer",,,
"6","Purser",,,
"7","Cabin Crew",,,
"8","Doctor",,,
"9","Loadmaster",,,
"10","1st Mate",,,
"11","2nd Mate",,,
"12","3rd Mate",,,
"13","Chief Engineer",,,
"14","2nd Engineer",,,
"15","Cook",,,
"16","Quartermaster",,,
"17","Nurse",,,
"18","Commander",,,
"19","Lieutenant-Commander",,,
"20","Lieutenant",,,
"21","Sub-Lieutenant",,,
"22","Medic",,,
"23","Warrant Officer",,,
"24","Midshipman",,,
"25","Cadet",,,
"26","Chief Petty Officer",,,
"27","Petty Officer",,,
"28","Leading Seaman",,,
"29","Able Seaman",,,
"31","Retail Staff",,,
"32","Entertainer",,,
