id,iso31661alpha2,currency,currency code,countryid,validfrom,validto
1,AE,Dirham,AED,233,,
2,AL,Lek,ALL,3,,
3,AM,Dram,AMD,12,,
4,AO,Readj Kwanza,AOA,7,,
5,AR,Peso,ARS,11,,
6,AU,Dollar,AUD,14,,
7,AW,Florin,AWG,13,,
8,AZ,New Manat,AZN,16,,
9,BA,Marka,BAM,29,,
10,BB,Dollar,BBD,20,,
11,BD,Taka,BDT,19,,
12,BG,Lev,BGN,36,,
13,BH,Dinar,BHD,18,,
14,BI,Franc,BIF,38,,
15,BM,Dollar (US),BMD,25,,
16,BN,Dollar,BND,35,,
17,BO,Boliviano,BOB,27,,
18,BR,Real,BRL,32,,
19,BS,Dollar,BSD,17,,
20,BT,Ngultrum,BTN,26,,
21,BW,Pula,BWP,30,,
22,BY,Rouble,BYN,21,,
23,BZ,Dollar,BZD,23,,
24,CA,Dollar,CAD,42,,
25,CD,Congo Fr,CDF,64,,
26,CH,Franc,CHF,216,,
27,CL,Peso,CLP,46,,
28,CN,Yuan,CNY,47,,
29,CO,Peso,COP,52,,
30,CR,Colon,CRC,56,,
31,CU,Peso,CUP,58,,
32,CV,Escudo,CVE,39,,
33,CZ,Koruna,CZK,61,,
34,DJ,Franc,DJF,66,,
35,DK,Krone,DKK,65,,
36,DO,Peso,DOP,68,,
37,DZ,Dinar,DZD,4,,
38,EC,Dollar,ECS,69,,
39,EG,Pound,EGP,70,,
40,ER,Nakfa,ERN,73,,
41,ET,Birr,ETB,75,,
42,AT,Euro,EUR,15,,
43,BE,Euro,EUR,22,,
44,CY,Euro,EUR,60,,
45,DE,Euro,EUR,87,,
46,ES,Euro,EUR,208,,
47,FR,Euro,EUR,80,,
48,GR,Euro,EUR,90,,
49,IE,Euro,EUR,110,,
50,IT,Euro,EUR,113,,
51,LT,Euro,EUR,130,,
52,LU,Euro,EUR,131,,
53,LV,Euro,EUR,124,,
54,MT,Euro,EUR,137,,
55,NL,Euro,EUR,155,,
56,PT,Euro,EUR,175,,
57,SI,Euro,EUR,202,,
58,SK,Euro,EUR,201,,
59,FJ,Dollar,FJD,78,,
60,GB,Pound,GBP,234,,
61,GE,Lari,GEL,86,,
62,GH,Cedi,GHS,88,,
63,GM,Dalasi,GMD,85,,
64,GN,Franc,GNF,97,,
65,GT,Quetzal,GTQ,95,,
66,GY,Dollar,GYD,99,,
67,HK,Dollar,HKD,48,,
68,HN,Lempira,HNL,103,,
69,HR,Kuna,HRK,57,,
70,HT,Gourde,HTG,100,,
71,HU,Forint,HUF,104,,
72,ID,Rupiah,IDR,107,,
73,IL,Shekel,ILS,112,,
74,IN,Rupee,INR,106,,
75,IQ,Dinar,IQD,109,,
76,IS,Krona,ISK,105,,
77,JM,Dollar,JMD,114,,
78,JO,Dinar,JOD,117,,
79,JP,Yen,JPY,115,,
80,KE,Schilling,KES,119,,
81,KG,Som,KGS,122,,
82,KH,Riel,KHR,40,,
83,KM,Franc,KMF,53,,
84,KR,Won,KRW,178,,
85,KW,Dinar,KWD,121,,
86,KY,Dollar,KYD,43,,
87,KZ,Tenge,KZT,118,,
88,LA,Kip,LAK,123,,
89,LB,Pound,LBP,125,,
90,LK,Rupee,LKR,209,,
91,LR,Dollar (US),LRD,127,,
92,LS,Loti,LSL,126,,
93,LY,Dinar,LYD,128,,
94,MA,Dirham,MAD,149,,
95,MD,Leu,MDL,179,,
96,MG,Malagasy Ariary,MGA,132,,
97,MK,Denar,MKD,220,,
98,MM,Kyat,MMK,151,,
99,MN,Tugrik,MNT,146,,
100,MO,Pataca,MOP,49,,
101,MR,Ouguiya,MRO,140,,
102,MU,Rupee,MUR,141,,
103,MV,Rufiyaa,MVR,135,,
104,MW,Kwacha,MWK,133,,
105,MX,Mexican Peso,MXN,143,,
106,MY,Ringgit,MYR,134,,
107,MZ,Metical,MZN,150,,
108,NG,Naira,NGN,160,,
109,NI,Gold Cordoba,NIO,158,,
110,NO,Norwegian Krone,NOK,164,,
