id,name,carrierid,validfrom,validto
1,Anglia Seaways,,,
2,Ark Dania,,,
3,Ark Forwarder,,,
4,Ark Futura,,,
5,Ark Germania,,,
6,Armorique,,,
7,Arrow,,,
8,Barfleur,,,
9,Berlioz,,,
10,Bore Song,,,
11,Bretagne,,,
12,Britannia Seaways,,,
13,Cap Finistere,,,
14,Clementine,,,
15,Clipper Pace,,,
16,Clipper Pennant,,,
17,Clipper Point,,,
18,Clipper Ranger,,,
19,Condor Vitesse,,,
20,Cote d'Albatre,,,
21,Cotentin,,,
22,Dana Sirena,,,
23,Delft Seaways,,,
24,Dover Seaways,,,
25,Dunkerque Seaways,,,
26,Eglantine,,,
27,European Causeway,,,
28,European Endeavour,,,
29,European Highlander,,,
30,European Seaway,,,
31,European Trader,,,
32,Express,,,
33,Flandria Seaways,,,
34,Gardenia,,,
35,Hafnia Seaways,,,
36,Humber Viking,,,
37,Isle of Inishmore,,,
38,Jonathan Swift,,,
39,Julia,,,
40,King Seaways,,,
41,Larkspur,,,
42,Maas Viking,,,
43,Melusine,,,
44,MN Pelican,,,
45,Moliere,,,
46,Mont St. Michel,,,
47,Norbank,,,
48,Norbay,,,
49,Nord Pas de Calais,,,
50,Norman Arrow,,,
51,Norman Spirit,,,
52,Norman Voyager,,,
53,Normandie,,,
54,Normandie Express,,,
55,Norqueen,,,
56,Norsky,,,
57,Norstream,,,
58,Palatine,,,
59,Pauline,,,
60,Peregrine,,,
61,Phocine,,,
62,Pont-Aven,,,
63,Pride of Bruges,,,
64,Pride of Burgundy,,,
65,Pride of Calais,,,
66,Pride of Canterbury,,,
67,Pride of Hull,,,
68,Pride of Kent,,,
69,Pride of Rotterdam,,,
70,Pride of York,,,
71,Princess Seaways,,,
72,Rodin,,,
73,Seatruck Panorama,,,
74,Seatruck Power,,,
75,Seatruck Progess,,,
76,Selandia Seaways,,,
77,Spirit of Britain,,,
78,Spirit of France,,,
79,Stena Adventurer,,,
80,Stena Britannica,,,
81,Stena Carrier,,,
82,Stena Europe,,,
83,Stena Explorer,,,
84,Stena Freighter,,,
85,Stena Hibernia,,,
86,Stena Hollandica,,,
87,Stena Lagan,,,
88,Stena Mersey,,,
89,Stena Nordica,,,
90,Stena Scotia,,,
91,Stena Superfast VII,,,
92,Stena Superfast VIII,,,
93,Stena Transit,,,
94,Stena Transporter,,,
95,Suecia Seaways,,,
96,Symphorine,,,
97,Tor Begonia,,,
98,Tor Dania,,,
99,Tor Ficaria,,,
100,Tor Finlandia,,,
101,Tor Freesia,,,
102,Tor Jutlandia,,,
103,Ulysses,,,
104,Valentine,,,
105,Vespertine,,,
106,Victorine,,,
