id,route,carrierid,validfrom,validto
1,Belfast - Birkenhead,,,
2,Belfast - Heysham,,,
3,Belfast - Stranraer,,,
4,Bergen - Newcastle,,,
5,Bilbao - Poole,,,
6,Bilbao - Portsmouth,,,
7,Birkenhead - Belfast,,,
8,Birkenhead - Dublin,,,
9,Boulogne - Dover,,,
10,Bremerhaven - Immingham,,,
11,Caen - Portsmouth,,,
12,Cairnryan - Larne,,,
13,Calais - Dover,,,
14,Cherbourg - Plymouth,,,
15,Cherbourg - Poole,,,
16,Cherbourg - Portsmouth,,,
17,Cheriton Coquelles,,,
18,Coquelles - Cheriton,,,
19,Cork - Swansea,,,
20,Cuxhaven - Immingham,,,
21,Dagenham - Vlissingen,,,
22,Dieppe - Newhaven,,,
23,Dover - Boulogne,,,
24,Dover - Calais,,,
25,Dover - Dunkirk,,,
26,Dublin - Birkenhead,,,
27,Dublin - Heysham,,,
28,Dublin - Holyhead,,,
29,Dublin - Liverpool,,,
30,Dunkirk - Dover,,,
31,DunLaoghaire - Holyhead,,,
32,Esbjerg - Harwich,,,
33,Esjberg - Immingham,,,
34,Esjberg - Purfleet,,,
35,Europoort - Harwich,,,
36,Europoort - Hull,,,
37,Europoort - Teesport,,,
38,Felixstowe - Rotterdam,,,
39,Felixstowe - Vlaardingen,,,
40,Fishguard - Rosslare,,,
41,Fleetwood - Larne,,,
42,Goteborg - Immingham,,,
43,Goteborg - Tilbury,,,
44,Guernsey - Poole,,,
45,Guernsey - Portsmouth,,,
46,Guernsey - Weymouth,,,
47,Harwich - Esbjerg,,,
48,Harwich - Europoort,,,
49,Harwich - Hook of Holland,,,
50,Haugesund - Newcastle,,,
51,Heysham - Belfast,,,
52,Heysham - Dublin,,,
53,Holyhead - Dublin,,,
54,Holyhead - DunLaoghaire,,,
55,Hook of Holland - Harwich,,,
56,Hook of Holland - Killingholme,,,
57,Hull - Europoort,,,
58,Hull - Rotterdam,,,
59,Hull -Zeebrugge,,,
60,Ijmuiden - Newcastle,,,
61,Immingham - Bremerhaven,,,
62,Immingham - Cuxhaven,,,
63,Immingham - Esbjerg,,,
64,Immingham - Goteborg,,,
65,Immingham - Rotterdam,,,
66,Immingham - Vlaardingen,,,
67,Ipswich - Rotterdam,,,
68,Jersey - Poole,,,
69,Jersey - Portsmouth,,,
70,Jersey - Weymouth,,,
71,Killingholme - Hook of Holland,,,
72,Killingholme - Rotterdam,,,
73,Killingholme - Zeebrugge,,,
74,Larne - Cairnryan,,,
75,Larne - Fleetwood,,,
76,Larne - Troon,,,
77,Le Havre - Portsmouth,,,
78,Liverpool - Dublin,,,
79,Newcastle - Bergen,,,
80,Newcastle - Haugesund,,,
81,Newcastle - Ijmuiden,,,
82,Newcastle - Stavanger,,,
83,Newhaven - Dieppe,,,
84,Oostende - Ramsgate,,,
85,Pembroke - Rosslare,,,
86,Plymouth - Cherbourg,,,
87,Plymouth - Roscoff,,,
88,Plymouth - Santander,,,
89,Plymouth - St Malo,,,
90,Poole - Bilbao,,,
91,Poole - Cherbourg,,,
92,Poole - Guernsey,,,
93,Poole - Jersey,,,
94,Poole - Santander,,,
95,Portsmouth - Bilbao,,,
96,Portsmouth - Caen,,,
97,Portsmouth - Cherbourg,,,
98,Portsmouth - Guernsey,,,
99,Portsmouth - Jersey,,,
100,Portsmouth - Le Havre,,,
101,Portsmouth - Santander,,,
102,Portsmouth - St Malo,,,
103,Purfleet - Esbjerg,,,
104,Purfleet - Rotterdam,,,
105,Purfleet - Zeebrugge,,,
106,Ramsgate - Oostende,,,
107,Roscoff - Plymouth,,,
108,Rosslare - Fishguard,,,
109,Rosslare - Pembroke,,,
110,Rosyth - Zeebrugge,,,
111,Rottedam - Purfleet,,,
112,Rotterdam - Felixstowe,,,
113,Rotterdam - Hull,,,
114,Rotterdam - Immingham,,,
115,Rotterdam - Ipswich,,,
116,Rotterdam - Killingholme,,,
117,Santander - Plymouth,,,
118,Santander - Poole,,,
119,Santander - Portsmouth,,,
120,St Malo - Plymouth,,,
121,St Malo - Portsmouth,,,
122,Stavanger - Newcastle,,,
123,Stranraer - Belfast,,,
124,Swansea - Cork,,,
125,Teesport - Europoort,,,
126,Teesport - Zeebrugge,,,
127,Tilbury - Goteborg,,,
128,Tilbury - Zeebrugge,,,
129,Troon - Larne,,,
130,Vlaardingen - Felixstowe,,,
131,Vlaardingen - Immingham,,,
132,Vlissingen - Dagenham,,,
133,Weymouth - Guernsey,,,
134,Weymouth - Jersey,,,
135,Zeebrugge - Hull,,,
136,Zeebrugge - Killingholme,,,
137,Zeebrugge - Purfleet,,,
138,Zeebrugge - Rosyth,,,
139,Zeebrugge - Teesport,,,
140,Zeebrugge - Tilbury,,,
